date,Product,Customer_name,Year,Month,Quarter,Purchase_amount
1/6/2018,110100570122--AMI,626,2018,June,2,175
1/6/2018,110100570122--AMI,637,2018,June,2,1400
1/6/2018,110100570122--AMI,647,2018,June,2,6300
1/6/2018,110100570122--AMI,648,2018,June,2,1750
1/6/2018,110100570122--AMI,659,2018,June,2,525
1/6/2018,110100570122--AMI,666,2018,June,2,875
1/6/2018,110100570122--AMI,668,2018,June,2,3500
1/6/2018,110100570122--AMI,676,2018,June,2,1750
1/6/2018,110100570122--AMI,677,2018,June,2,175
1/6/2018,110100570122--AMI,685,2018,June,2,525
1/6/2018,110100570122--AMI,687,2018,June,2,350
1/6/2018,110100570122--AMI,691,2018,June,2,700
1/6/2018,110100570122--AMI,697,2018,June,2,700
1/6/2018,110100570122--AMI,703,2018,June,2,875
1/6/2018,110100570122--AMI,708,2018,June,2,875
1/6/2018,110100570122--AMI,709,2018,June,2,525
1/6/2018,110100570122--AMI,715,2018,June,2,3150
1/6/2018,110100570122--AMI,716,2018,June,2,7000
1/6/2018,110100570122--AMI,723,2018,June,2,350
1/6/2018,110100570122--AMI,727,2018,June,2,350
1/6/2018,110100570122--AMI,734,2018,June,2,3150
1/6/2018,110100570122--AMI,757,2018,June,2,875
1/6/2018,110100570122--AMI,760,2018,June,2,525
1/6/2018,110100570122--AMI,762,2018,June,2,875
1/6/2018,110100570122--AMI,770,2018,June,2,175
1/6/2018,110100570122--AMI,787,2018,June,2,525
1/6/2018,110100570122--AMI,788,2018,June,2,1750
1/6/2018,110100570122--AMI,791,2018,June,2,875
1/6/2018,110100570122--AMI,797,2018,June,2,350
1/6/2018,110100570122--AMI,810,2018,June,2,6125
1/6/2018,110100570122--AMI,831,2018,June,2,17500
1/6/2018,110100570122--AMI,832,2018,June,2,8750
1/6/2018,110100570122--AMI,838,2018,June,2,7000
1/6/2018,110100570122--AMI,844,2018,June,2,5250
1/6/2018,110100570122--AMI,880,2018,June,2,17500
1/6/2018,110100570122--AMI,896,2018,June,2,7700
1/6/2018,110100570122--AMI,900,2018,June,2,8750
1/6/2018,110100570122--AMI,906,2018,June,2,350
1/6/2018,110100570122--AMI,921,2018,June,2,7000
1/6/2018,110100570122--AMI,926,2018,June,2,7700
1/6/2018,110100570122--AMI,975,2018,June,2,193
1/6/2018,110100570122--AMI,976,2018,June,2,186
1/6/2018,110100570122--AMI,982,2018,June,2,875
1/6/2018,110100570122--AMI,985,2018,June,2,1050
1/6/2018,110100570122--AMI,987,2018,June,2,175
1/6/2018,110100570122--AMI,1010,2018,June,2,2100
1/6/2018,110100570122--AMI,1028,2018,June,2,193
1/6/2018,110100570122--AMI,1053,2018,June,2,3500
1/6/2018,110100570122--AMI,1068,2018,June,2,5257
1/6/2018,110100570122--AMI,1076,2018,June,2,4205
1/6/2018,110100570122--AMI,1094,2018,June,2,875
1/6/2018,110100570122--AMI,1138,2018,June,2,350
1/6/2018,110100570122--AMI,1153,2018,June,2,-39
1/6/2018,110100570122--AMI,1161,2018,June,2,969
1/6/2018,110100570122--AMI,1173,2018,June,2,350
1/6/2018,110100570122--AMI,1232,2018,June,2,525
1/6/2018,110100570122--AMI,1259,2018,June,2,4205
1/6/2018,110100570122--AMI,1279,2018,June,2,175
